timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1551945600,32222619.616667, 1564470222.6667,519892.75,12677317.883333
1551949200,33020634.6, 1539854260.55,510575.53333333,12625842.2
1551952800,31565169.55, 1613759294.85,508685.48333333,12470289.633333
1551956400,30922177.333333, 1407364319.75,521047.15,12270267.316667
1551960000,31610997.416667, 1627149144.7,533332.5,12476018.666667
1551963600,29835239.683333, 1399663899.7833,545761.9,12168666.833333
1551967200,30437342.066667, 1393175796.65,555144.53333333,12202226.35
1551970800,30326456.516667, 1521780345.3,546761.1,12245670.083333
1551974400,30717691.416667, 1640678607.2833,523397.95,12266011.45
1551978000,31976816.483333, 1636183142.4667,498546.63333333,12422828.316667
1551981600,30653428.78, 1493641609.32,480592.66,12291921.28
1551985200,30059816.3, 1483986656.42,463018.66,12170449.28
1551988800,30735230.74, 1620217119.04,445595.32,12367299.04
1551992400,28893176.06, 1464795182.48,427295,11955607.98
1551996000,29229895.34, 1502121844.92,419016.28,12050316.88
1551999600,28622983.72, 1346851042.76,413828.16,11952267.68
1552003200,31789691.4, 1520808050.3833,420660.35,12572687.95
1552006800,33492670.383333, 1823832781.8,443991.3,12751702.216667
1552010400,32185022.466667, 1593964469.5,458618.68333333,12545399.833333
1552014000,32342864.316667, 1554369411.6167,467117.21666667,12600052.216667
1552017600,31885926.25, 1636840105.8,478586.95,12603013.716667
1552021200,31617631.166667, 1495601501.85,496423.61666667,12559482.633333
1552024800,33246379.016667, 1662360443.3333,510542.58333333,12763478.85
1552028400,33443815.683333, 1554224994.15,523926.08333333,12759309.333333
1552032000,32765351.966667, 1536031535.9667,526829.4,12757426.2
1552035600,33098805.366667, 1548416300.4,515985.38333333,12917386.683333
1552039200,33920799.016667, 1701908382.8,511167.95,12960992.733333
1552042800,33562990.45, 1558884482.35,517777.03333333,12991918.316667
1552046400,32937340.283333, 1528662799.2833,533883.9,12771306.45
1552050000,33171126.416667, 2285715004.5333,514440.93333333,12132658.05
1552053600,33794908.166667, 1675477775.45,536246.6,12883750.55
1552057200,33777061.983333, 1664069755.0333,545711,12861532.533333
1552060800,33560299.15, 1667596534.2333,532138.61666667,12885275.483333
1552064400,33051196.816667, 1806683958.8833,513391.13333333,12742862.583333
1552068000,33564563.983333, 1779836678.1167,493289.08333333,12763900.783333
1552071600,33029934.516667, 1596117372.2167,476152.15,12842382.283333
1552075200,32083356.25, 1467059103.45,455345.73333333,12805812.616667
1552078800,32743963.133333, 1533381689.3833,438975.83333333,12884293.833333
1552082400,32141890.6, 1514666290.1667,433584.38333333,12786012.45
1552086000,31397600.933333, 1461770752.5333,432928.86666667,12697433.366667
1552089600,32416417.983333, 1611761106.1,439981.8,12862239.733333
1552093200,33971296.85, 1859582707.1167,455396.11666667,12932229.083333
1552096800,34534309.083333, 1607233746.9833,470614.88333333,12967423.683333
1552100400,36334243.133333, 1675760588.8833,475814.33333333,12726097.916667
1552104000,35683975.15, 1810251795.4667,490733.28333333,12892289.85
1552107600,34191556.3, 1580360860.25,505237.81666667,13016657.883333
1552111200,32626098.083333, 1601331789.2667,518256.35,12871465.216667
1552114800,33703007.083333, 1550115902.4667,522801.81666667,13033944.583333
