timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1423094400, 368631489.82708,5880487.5090278,593127.66180555,3873682.5604167
1423180800, 454689559.94583,6737820.2513889,793622.87291667,4423630.7465278
1423267200, 430066471.31944,6298004.8375,757469.39375,4311407.925
1423353600, 459418192.97778,6411847.4791667,895804.77569444,4440712.83125
1423440000, 481916846.32917,7006737.4201389,930048.82083333,4792245.7090278
1423526400, 489712959.83889,7114078.9805555,923011.71319445,4801242.4673611
1423612800, 472875496.58403,6726587.975,870338.73402778,4557435.56875
1423699200, 398918008.34167,5837407.6201389,619016.84166667,3997260.4
1423785600, 464361175.47917,6549094.2875,871748.65347222,4527923.075
1423872000, 433029547.58472,6310289.6069444,839803.92638889,4371603.825
1423958400, 425971485.51458,6343872.5388889,821084.15486111,4318762.43125
1424044800, 390177254.64861,5885086.8951389,598008.83194444,3980873.15
1424131200, 366973953.93472,5785737.6118056,572486.49027778,3941657.7465278
1424217600, 367032042.92569,5936584.8027778,698215.63541667,4100151.2263889
1424304000, 429767592.75278,6182914.5055555,661094.80833333,4199846.0472222
1424390400, 380194535.41042,5954008.1145833,604111.81736111,4115172.70625
1424476800, 425079099.36875,6295088.5180556,767118.72430555,4153203.9166667
1424563200, 359692974.60556,5221211.5159722,557265.47430556,3411863.8138889
1424649600, 349779269.23056,5596434.9486111,560357.06041667,3672247.6305556
1424736000, 396791040.95347,5819366.9104167,567645.96736111,3877435.6805556
1424822400, 366918543.58264,5821701.1444445,557919.76597222,3816842.7798611
1424908800, 351236441.67083,5482027.0590278,562417.75,3654904.2118056
1424995200, 412678512.66667,6032275.9173611,765370.16388889,4055574.5381944
1425081600, 448443320.30833,6668146.2173611,815218.12361111,4399472.8680556
1425168000, 385959356.62569,5952012.7506944,626571.34444444,3895618.7958333
1425254400, 388531226.5125,5939719.9180556,570288.91736111,3771868.7305556
1425340800, 372270691.925,5866451.8090278,554655.42569444,3797071.5326389
1425427200, 386346857.83889,5791513.5666667,525302.57569444,3781432.9236111
1425513600, 372578212.63333,5718579.1729167,544264.21041667,3603223.4652778
1425600000, 427509540.07917,6316630.5763889,752788.04861111,4171557.1569444
1425686400, 410695596.47431,6273448.7409722,505632.09097222,3747987.9368056
1425772800, 438664967.38889,6646339.8069445,605771.64027778,3907253.2520833
1425859200, 415140251.14028,6371447.2451389,790943.57777778,4255916.0673611
1425945600, 447618565.90694,6514546.1888889,907221.95347222,4479131.1923611
1426032000, 420495565.80278,5903464.1666667,824999.05486111,4095392.1847222
1426118400, 363536234.32222,5494593.7,663770.70416667,3903384.4
1426204800, 356829407.72708,5313513.3590278,640752.32222222,3765208.3833333
1426291200, 355419510.70764,5399815.2069444,696072.31597222,3817357.9229167
1426377600, 392676004.49792,5892615.9444444,734564.29722222,4065742.3631944
1426464000, 420119815.26458,6253103.4493056,543143.82986111,3775746.8451389
1426550400, 335335723.49306,5199052.4993055,477502.25069444,3443139.4743056
1426636800, 324184820.04444,5143405.0097222,500118.95208333,3516349.7104167
1426723200, 320096415.67222,4873701.1125,457446.81388889,3400972.2277778
1426809600, 345881598.12083,5357962.8354167,532582.21597222,3793960.2777778
1426896000, 307436213.10278,5439927.0569445,275515.89930556,3208633.7861111
1426982400, 375486175.39583,6167249.6770833,520296.05625,3580214.7479167
1427068800, 387356814.60417,6571602.5083333,483769.68819445,3687450.0333333
1427155200, 414435066.68403,6766073.3006944,698424.20069445,4030162.0395833
1427241600, 359515687.58264,5563713.1652778,584991.28472222,3752472.3354167
1427328000, 355100620.80903,5484668.6347222,456813.39027778,3392599.8243056
1427414400, 457678098.17083,7059551.7340278,653093.14930556,3897790.03125
1427500800, 464571018.39514,7263652.5784722,693735.39444444,4195525.8673611
1427587200, 454294952.88819,6827036.9145833,518674.14444445,3735315.4326389
1427673600, 479063174.79028,7053191.7027778,738995.72361111,4132362.4270833
1427760000, 386344713.36944,6208019.2229167,547603.24305556,3922452.6326389
1427846400, 382043661.14583,6315463.0958333,405014.2375,3358314.0986111
1427932800, 325735657.69931,5306795.3486111,425415.84097222,3447202.7152778
1428019200, 321663119.38681,5168795.7194445,371133.81736111,3319421.1
1428105600, 452242229.15764,6561012.0083333,756617.77013889,3778182.3368056
1428192000, 431300233.52847,5928683.3416667,497237.21736111,3568723.6055556
1428278400, 364683765.14583,5615813.6840278,425120.34583333,3420712.2229167
1428364800, 430000694.475,6602861.4819445,477176.37291667,3694212.1979167
1428451200, 402414125.125,6257521.4458333,473995.53263889,3825985.8055556
1428537600, 357392323.31597,5869669.8270833,452188.89375,3776881.8708333
1428624000, 373762346.54653,6527321.6576389,529597.99513889,3706683.6486111
1428710400, 372428339.08125,6338427.0791667,420192.17291667,3616981.8743056
1428796800, 346436384.41528,5474064.0145833,424964.55902778,3615083.0625
1428883200, 354775258.72639,5998165.8840278,482270.99305555,3662276.78125
1428969600, 489742921.88195,6210786.8694444,504735.3375,3528152.9861111
1429056000, 340048177.34097,5407941.6340278,490905.58680556,3523554.2104167
1429142400, 343946385.77569,5620368.2395833,418356.96875,3361285.4527778
1429228800, 381435866.49306,6173873.5958333,484368.27430555,3707404.4541667
1429315200, 331075684.06181,5308020.8180555,472832.97916667,3524019.8368055
1429401600, 334527180.28194,5687329.2583333,478246.44166667,3442252.0131944
1429488000, 368609845.07431,6300844.3152778,517832.23194444,3632767.9881944
1429574400, 372902253.40139,5690314.6694444,484335.39722222,3765870.3493056
1429660800, 392521917.89167,5922235.0861111,554932.60069444,3630863.86875
1429747200, 345773331.84722,5233557.3888889,487102.91458333,3584891.3402778
1429833600, 357754350.19167,5487638.5576389,448833.12708333,3750748.64375
1429920000, 383371937.23542,5763306.0027778,542692.41805556,4022035.6118056
1430006400, 312022356.34792,4887591.8027778,427755.85347222,3331704.9673611
1430092800, 349784301.90208,5381128.1125,482160.0375,3585000.2847222
1430179200, 375034305.74167,5792902.1923611,450326.75555556,3701943.8618056
1430265600, 395344708.975,5617803.5777778,366745.61111111,3704201.0916667
1430352000, 324856588.02986,4858776.1083333,240837.46319444,3373822.9638889
1430438400, 339119390.45625,5513775.1944444,263168.07430556,3451783.9666667
1430524800, 326823604.34583,5405276.8243056,493404.74375,3541100.3527778
1430611200, 338242570.97708,5235979.1138889,446277.78333333,3312496.2965278
1430697600, 348151563.90278,5349344.9326389,533085.67708333,3566011.59375
1430784000, 404125012.91042,5375456.925,528720.94097222,3582305.0472222
1430870400, 342354075.84514,4955837.5270833,479567.16736111,3295542.1055556
1430956800, 405846596.38889,5807110.9520833,719035.38125,4017488.7652778
1431043200, 484799375.65,7079985.5145833,657627.50416667,3198004.4944444
1431129600, 382344958.68611,5659787.25625,572512.12222222,3768551.5708333
1431216000, 364639660.92083,5460123.1444444,552718.46944445,3667514.8
1431302400, 381918771.84097,5838299.4458333,512278.95277778,3929898.8854167
1431388800, 398517237.98611,5850398.2243056,553372.59791667,3780081.1020833
1431475200, 376927632.23819,5890329.4104167,628677.81944444,3914961.1701389
1431561600, 490660173.11319,6927125.2729167,728124.03402778,3455795.6055556
1431648000, 601669226.3868,6543514.9277778,668442.89791667,3626072.6381944
1431734400, 568428972.08681,6267028.0229167,790548.06666667,4051202.6847222
1431820800, 490289578.32153,5951114.6194444,616714.87638889,3741398.5659722
1431907200, 424008925.17361,5846982.3673611,513110.35138889,3623309.6458333
1431993600, 493846999.59514,6355829.6569444,564754.49444444,3945951.9222222
1432080000, 402241284.96173,5963522.8525868,529250.19914954,3856353.7186393
1432166400, 396204474.24653,6060902.3576389,657216.39375,4026000.4534722
1432252800, 625985505.78195,6780520.4319444,577009.43472222,3996702.7777778
1432339200, 427499025.03056,6273651.4923611,572642.32361111,3895403.5743056
1432425600, 436295426.1,5862129.9930556,510209.87569444,3678168.6951389
1432512000, 465561486.13056,6561731.6458333,620029.38055556,4169958.2763889
1432598400, 726478099.40764,6891245.7527778,614954.08333334,4128486.5041667
1432684800, 492251082.55833,6099918.5097222,678173.27777778,4002843.1868056
1432771200, 393669240.84028,5562886.4333333,577757.72847222,3757092.4458333
1432857600, 388260331.81319,5356043.8722222,567785.16527778,3626286.5548611
1432944000, 398630360.5625,5929833.1284722,639980.89583333,3926314.6055556
1433030400, 461603758.54375,6706943.0965278,694802.73541667,4121825.5131944
1433116800, 473263081.01111,6972157.8513889,676901.92222222,4066875.6083333
1433203200, 497339794.11736,7188991.8479167,630473.56805556,4132071.2826389
1433289600, 482462416.06944,7104784.9555556,556953.1,4230917.7152778
1433376000, 448376372.15069,6706987.1881944,582861.26805555,4141801.5923611
1433462400, 480904345.13194,7129699.9083333,522831.9125,4065600.6625
1433548800, 524722181.63958,7627154.7993056,499337.48611111,3738157.6847222
1433635200, 483548840.76875,6330067.2243055,571299.34166667,3983088.4291667
1433721600, 466784367.05903,6508639.8909722,588192.84791667,4194408.8506944
1433808000, 467961696.01319,7020529.4875,631094.22847222,4381780.8631944
1433894400, 513411264.23472,7091160.4083333,545302.59583333,4293435.7548611
1433980800, 545574559.47986,7436292.7173611,623523.51527778,4505321.2208333
1434067200, 457162560.23819,6972252.9958333,668378.14930556,4423128.10625
1434153600, 503187712.27083,7112592.84375,652489.84375,4195045.2722222
1434240000, 603518665.86042,7230215.4208333,542357.35416667,3601829.4430556
1434326400, 442024652.54444,6554868.7180556,487707.52291667,4079332.1548611
1434412800, 601326647.00625,7306826.0611111,505970.59027778,3592292.3201389
1434499200, 530203903.77986,7071826.7027778,579545.90416667,4182852.3430555
1434585600, 401187525.12778,6578017.1881944,522627.88402778,4099809.9604167
1434672000, 418982899.68403,6399247.4784722,498397.28055556,3513256.6527778
1434758400, 409513280.70833,6556250.6409722,393274.51736111,3446357.2819444
1434844800, 447955310.00625,6933794.0180556,369916.17916667,3773971.6784722
1434931200, 484458512.50833,7051010.4583333,467473.58611111,4062287.2458333
1435017600, 456061121.12014,6809244.7527778,597243.05833333,4426376.4069444
1435104000, 458791524.76944,6892469.9270833,736850.86111111,4514464.6479167
1435190400, 475697488.20278,7006322.4340278,745319.17708333,4548039.6430555
1435276800, 463810846.12014,6860864.5326389,714468.49375,4474820.1819444
1435363200, 455855501.85208,6814227.24375,696938.88055556,4443093.6430556
1435449600, 564242171.32569,6679465.41875,654466.11111111,4327291.6006944
1435536000, 547280249.96944,7112851.0326389,667354.48680556,4432757.9284722
1435622400, 497028600.29028,6810000.375,668854.27916667,4431138.7243055
1435708800, 464011635.73611,6606545.4013889,697844.44583333,4255219.7597222
1435795200, 411474427.075,6368239.7381944,692926.96805556,4250051.1055556
1435881600, 609748780.65833,7178701.2159722,834371.05069444,4265557.0791667
1435968000, 617391170.02708,7387269.70625,1016339.6458333,4067364.9833333
1436054400, 561896052.76042,7206831.15625,937026.42986111,4043314.3444444
1436140800, 518694718.82014,7314829.2118056,999313.65138889,4161649.7881945
1436227200, 539350173.23958,7290372.8541667,963343.22430556,4275960.7861111
1436313600, 488302918.94653,6965916.7131944,884596.45555556,4141430.1006944
1436400000, 498954882.30208,7200934.6118056,924723.20763889,4152690.5458333
1436486400, 500843315.48056,7386208.3041667,970745.01180556,4180329.2631944
1436572800, 495287082.88889,7252661.8333333,973244.08055556,4074057.8555555
1436659200, 497886244.73264,7342546.4069444,963726.73194445,4144318.0381944
1436745600, 484389392.60278,7243996.6875,846971.86875,4077993.06875
1436832000, 481429868.62708,7215910.3381944,898900.33611111,4060773.4930556
1436918400, 473372503.46111,7352366.2569444,983708.28402778,4059267.2784722
1437004800, 473177112.24722,7230112.5486111,974044.53541667,4145769.6979167
1437091200, 474651134.03056,7210890.9194444,1011759.4076389,3974105.5673611
1437177600, 507702250.91875,7234426.6680555,978809.16944444,3888205.8965278
1437264000, 600446909.93194,7337613.5347222,893559.77638889,3318338.5041667
1437350400, 598291627.93542,7464586.4409722,897671.48055556,3617662.2
1437436800, 570016315.86548,7443821.3352313,940933.94661922,4152746.3032028
1437523200, 226142869.80605,4038509.3224181,221046.2720403,2054551.7455919
1437609600, 852709763.26944,11379996.925694,943456.87638889,4435466.86875
1437696000, 801617223.94444,10671248.455556,1014791.7305556,4409204.8375
1437782400, 642675628.74375,9307202.7736111,1093970.3527778,4446102.2472222
1437868800, 828810697.9625,10864582.876389,1139534.5805556,4648684.6715278
1437955200, 927565208.51458,11612388.15,1187089.8222222,5128339.4055556
